wikidata_id,phd_en,phd_de,phd_nl,phd_sv,phd_fr,phd_es,phd_it,phd_pt,phd_ru,phd_pl,phd_uk,phd_sr
Q191305,8.006072645500081,7.749519724550973,9.030405394365472,7.796965052116751,7.837608496157694,7.643143632790713,7.957993576496353,7.279003101652582,8.641464716428928,8.8258860182998,7.533845999205205,7.542562257275014
Q181078,8.158434168517264,8.180542603715331,8.486204188423832,7.573289515182915,8.039127852200506,8.016915956445727,8.49825842071345,8.099642270490504,8.542411683177605,8.441935985718102,7.659756185476503,8.07903227868167
Q36823,7.403081744308516,9.579859934870116,8.707301199621922,8.587303863064701,8.702065625680635,8.277733786944806,8.702098988281803,8.332849931314902,10.755239022518955,8.940786176353814,8.787518332235841,8.718397949330662
Q27074540,7.230847822933719,8.994863536937704,9.576166032787333,8.752378425367631,8.290201253117734,8.565773932728726,7.85112713983147,8.021019158624306,8.729160919356598,8.788587090999116,8.032907256386226,7.789940565558735
Q37175,7.7634942591957925,8.568636581860316,9.636685489718005,9.145094584978688,8.69533589429136,7.716169234858637,8.27815817733982,8.08371258277876,9.648136300018013,9.57125578704242,7.919181828123738,7.772474991022378
Q161140,6.359461704390011,8.462141686002312,8.024472824845276,8.53942927404614,7.347191346563082,7.266826877042972,7.428958284383438,7.888342671024948,8.160437994661603,7.776839900089526,7.827229746002279,7.345947826866096
Q171504,8.834650285564889,8.588640147854294,9.321205902504298,8.208685312741702,8.437365910762976,8.018641983424354,7.985014573628065,8.333220105664878,8.668956665255328,8.878690444186882,7.203319251180611,7.087413735470525
Q17507,7.20853840958661,8.227530873841326,7.752215186009593,7.647740817885354,6.803560356778094,7.1548067797621915,7.888059017268018,7.298629505624734,7.163664850567546,8.73833497007403,7.521722301232679,7.34739267725583
Q8142,9.115619616739387,8.457880658287928,8.412296643741524,9.06610740657285,7.942459320460834,7.715035816902862,9.070351087478901,8.380225037386904,9.424368558695503,10.444305265743852,8.433476394262522,7.992398919042675
Q649112,8.682829534051358,8.887912196898892,8.030944386554106,8.982879490183906,7.831989065682611,8.101321101199732,8.891949006684547,8.297596583116892,8.110385172904868,7.842825774632174,8.19190755924472,7.517139895368455
Q13420597,7.685912462143979,8.629943113783613,8.446206000896655,8.342919594454784,7.347768332001317,7.211893099825687,6.715229665156728,6.998992479692501,7.778289002911932,6.925723879544936,7.531079968675507,7.407405890040532
Q429934,8.800414706549898,10.531940054446569,9.802720668327396,9.480516914755745,9.496417894595421,9.740734355087636,9.827994868773809,9.829096969803864,10.281874339079577,11.521171551129205,9.144085313560877,8.492191899942794
Q483693,7.834769903885714,8.488118503267643,9.051490177680739,8.844710162951811,8.37114284339205,9.1135496236809,9.16599227223628,8.940600252860536,9.451614988276154,9.499309197463873,8.511335285702417,8.169517395233525
Q7099,9.206927894919183,10.548073351121937,9.34075614130128,9.565836247062302,8.88966884479599,9.36128140592273,9.610611474807554,9.055559642263203,9.833607261633487,10.132838707920381,9.613372675546506,7.652259336027842
Q20075,7.605704268049422,9.30054052552573,8.87049314628036,8.67289607285433,7.825142092054386,7.1823108123302895,8.153578213111006,8.117576222468042,8.734264734902668,9.584575341102482,7.702308199969121,7.373695877541995
Q220310,8.161953086791266,7.844746529984736,8.710973750336107,7.6457731126136155,7.393720094322041,7.8481800873184975,7.174238878134922,7.488451089302337,7.3249793273792525,7.60780739835539,7.603569859087733,8.64667989954554
