wikidata_id,phd_romance,phd_germanic,phd_slavic
Q191305,7.679437201774335,8.14574070413332,8.135939747802237
Q181078,8.163486124962548,8.099617618959835,8.18078403326347
Q36823,8.503687083055537,8.569386685466313,9.300485370109818
Q27074540,8.182030371075559,8.638563954506596,8.33514895807517
Q37175,8.193343972317145,8.778477728938201,8.727762226551636
Q161140,7.48282979475361,7.846376372320934,7.7776138669048756
Q171504,8.193560643370068,8.738295412166295,7.959595024023336
Q17507,7.286263914858259,7.709006321830721,7.6927786997825205
Q8142,8.277017815557375,8.762976081335422,9.073637284436138
Q649112,8.280713939170946,8.646141401922065,7.915564600537555
Q13420597,7.068470894169058,8.276245292819759,7.410624685293227
Q429934,9.723561022065184,9.653898086019902,9.859830775928113
Q483693,8.897821248042442,8.554772186946478,8.907944216668993
Q7099,9.22928034194737,9.665398408601176,9.308019495282053
Q20075,7.819651834990931,8.61240850317746,8.348711038379067
Q220310,7.4761475372694495,8.090861619931433,7.7957591210919785
Q649817,9.319706050005504,8.799213399353512,9.170178708352925
Q1414,8.700792548426215,9.230502095481224,8.918614392713463
Q531814,9.377288802071186,9.569418200668585,9.792140773413747
Q11682,7.875646256818152,8.80647061515686,8.675492146116866
Q162202,8.778119316864473,8.783071239751926,8.457932168201946
Q241218,9.098520750344445,9.863530205084125,9.677745268387486
Q6418,8.33512185629904,8.347971087441158,8.51551605802096
Q203033,7.891214799986891,8.287758433665037,7.959130612683313
Q184903,9.355769888577468,9.300168502658673,9.258216644502873
Q1394,9.030393333850109,9.06662476738449,9.858373867988787
Q47906,8.448839084775082,8.263744208963185,8.178741786690482
Q181312,7.213787826994434,7.693756948010924,7.482605417581393
Q622424,8.002862423951727,8.334770292200803,8.822685310442239
Q1035,9.198806198534808,9.645859750416289,8.296643203662807
Q155901,8.884096136619373,8.931499570888182,8.926202392775258
Q190209,7.390834010790233,8.313255317205263,7.708139171272829
Q79762,8.81834819688594,8.85544372749544,7.695619587733754
Q747537,7.542000033185522,7.973433468138724,7.933449285792312
Q815834,8.03242569274359,8.728400465457526,8.734777821901881
Q1781285,9.212699121314854,9.021360611861851,9.409606730986464
Q185085,8.477974593253961,8.577588607776434,8.88685154246577
Q43100,7.698232310467306,8.883854857306131,8.291981932872233
Q188983,7.686354441409043,7.993635293639382,8.055696148763246
Q216640,8.632716537175643,9.082210962348544,9.035586717551496
Q663673,7.957145621536943,8.291955729362833,8.247909979355901
Q189800,9.228052467829482,9.253204177667651,9.255413170756704
Q202298,8.016004535280558,8.72965284248412,7.916845458570625
Q48,8.701925037052678,9.533660838298701,9.489257153151918
Q4525785,7.201626193344997,7.6741416607356605,7.74470522945149
Q84165,8.086427826068467,8.882847532232333,8.383869581098912
Q23384,9.007114375064315,8.795619752841999,9.07465606996907
Q977,8.42647794518206,8.185490594854658,8.080636613109505
Q569869,9.098565684253613,9.38035387816695,9.946748130879751
Q409793,8.529634980313896,8.4554705426279,8.828673199638866
Q132518,9.511441790881545,10.134998904558081,10.449545324952709
Q33837,7.324306339164202,7.926637495587929,7.707130947547945
Q147235,9.378623823835651,9.976241673779729,9.578138667900262
Q11436,9.263644984014473,8.657833800796984,9.414052456191792
Q36368,7.686503859809948,8.528783027204755,7.542734164775948
Q485679,7.288817885356971,7.423726041429939,7.25376053661569
Q28406836,8.068937854809132,8.855678918826598,9.146778584389661
Q215010,8.766456224377151,9.51365715279296,9.249845781314576
Q41137,8.01481944697958,8.738510100334569,8.327935570041372
Q170355,7.258380844469635,8.694489297747023,7.561061540021875
Q6221,9.014388341297298,9.102176419407115,8.739632780737939
Q173680,8.094583385752335,7.520727404594115,7.760630677892608
